rank,gpu_id,config_id,m,n,k,dtype,batch_size,repetition,duration_us,flops,bytes,arithmetic_intensity,throughput,kernel_name
0,0,1,128,128,128,fp32,1,0,7.456,4194304.0,196608.0,21.333333333333332,562540772532.1888,ampere_sgemm_32x32_sliced1x4_nn
0,0,1,128,128,128,fp32,1,1,7.329,4194304.0,196608.0,21.333333333333332,572288716059.4897,ampere_sgemm_32x32_sliced1x4_nn
0,0,1,128,128,128,fp32,1,2,7.2,4194304.0,196608.0,21.333333333333332,582542222222.2223,ampere_sgemm_32x32_sliced1x4_nn
0,0,1,128,128,128,fp32,1,3,7.328,4194304.0,196608.0,21.333333333333332,572366812227.0742,ampere_sgemm_32x32_sliced1x4_nn
0,0,1,128,128,128,fp32,1,4,7.136,4194304.0,196608.0,21.333333333333332,587766816143.4978,ampere_sgemm_32x32_sliced1x4_nn
0,0,2,128,128,128,fp32,4,0,30.239,16777216.0,786432.0,21.333333333333332,554820463639.6707,ampere_sgemm_128x128_nn
0,0,2,128,128,128,fp32,4,1,29.952,16777216.0,786432.0,21.333333333333332,560136752136.7521,ampere_sgemm_128x128_nn
0,0,2,128,128,128,fp32,4,2,29.952,16777216.0,786432.0,21.333333333333332,560136752136.7521,ampere_sgemm_128x128_nn
0,0,2,128,128,128,fp32,4,3,29.921,16777216.0,786432.0,21.333333333333332,560717088332.6093,ampere_sgemm_128x128_nn
0,0,2,128,128,128,fp32,4,4,29.92,16777216.0,786432.0,21.333333333333332,560735828877.0054,ampere_sgemm_128x128_nn
0,0,3,128,128,128,fp32,8,0,29.952,33554432.0,1572864.0,21.333333333333332,1120273504273.5042,ampere_sgemm_128x128_nn
0,0,3,128,128,128,fp32,8,1,29.953,33554432.0,1572864.0,21.333333333333332,1120236103228.391,ampere_sgemm_128x128_nn
0,0,3,128,128,128,fp32,8,2,29.952,33554432.0,1572864.0,21.333333333333332,1120273504273.5042,ampere_sgemm_128x128_nn
0,0,3,128,128,128,fp32,8,3,29.925,33554432.0,1572864.0,21.333333333333332,1121284277360.067,ampere_sgemm_128x128_nn
0,0,3,128,128,128,fp32,8,4,29.952,33554432.0,1572864.0,21.333333333333332,1120273504273.5042,ampere_sgemm_128x128_nn
0,0,4,128,128,128,fp32,16,0,30.049,67108864.0,3145728.0,21.333333333333332,2233314386502.047,ampere_sgemm_128x128_nn
0,0,4,128,128,128,fp32,16,1,30.048,67108864.0,3145728.0,21.333333333333332,2233388711395.1016,ampere_sgemm_128x128_nn
0,0,4,128,128,128,fp32,16,2,30.015,67108864.0,3145728.0,21.333333333333332,2235844211227.7197,ampere_sgemm_128x128_nn
0,0,4,128,128,128,fp32,16,3,30.016,67108864.0,3145728.0,21.333333333333332,2235769722814.4995,ampere_sgemm_128x128_nn
0,0,4,128,128,128,fp32,16,4,29.984,67108864.0,3145728.0,21.333333333333332,2238155816435.432,ampere_sgemm_128x128_nn
