precision,batch_size,method,bandwidth_gb_per_sec,peak_tflops,r_squared,num_samples,success
bf16,1,l2,431.09364370604897,209.76067699081813,0.8055894279872451,603,True
bf16,1,huber,390.7597952835872,230.64261556316728,0.7817868400798327,603,True
bf16,1,irls,426.46935784818083,209.79881142936102,0.805465596986679,603,True
bf16,16,l2,780.0522973275868,245.26124503890736,0.9667606674028028,325,True
bf16,16,huber,706.9493025942404,259.3840317348614,0.9571382429173783,325,True
bf16,16,irls,778.6312048196253,245.26954561700936,0.9667545357681402,325,True
bf16,4,l2,600.0837677516375,244.75858860316177,0.8987900744559119,548,True
bf16,4,huber,619.4903920341163,253.18596991301638,0.8920768328315759,548,True
bf16,4,irls,604.1528254507274,247.44298052060094,0.8982164361918533,548,True
bf16,8,l2,582.0614254164193,247.92608561559132,0.8544148239061328,400,True
bf16,8,huber,631.5032094014717,256.7368816171127,0.834843778607305,400,True
bf16,8,irls,594.3300737499941,248.5491283758866,0.8534184128812559,400,True
fp16,1,l2,475.72917237920484,232.71887055622378,0.8564544273874938,609,True
fp16,1,huber,405.7956648111434,244.2482745529051,0.8387788303748139,609,True
fp16,1,irls,460.5627771512349,239.66663043519083,0.8532261313359282,609,True
fp16,16,l2,775.0784509200382,241.18077173791718,0.9672801653857217,326,True
fp16,16,huber,753.737648236334,242.0703339397209,0.9658278094942935,326,True
fp16,16,irls,773.8561928374934,241.18346514247352,0.9672753744048084,326,True
fp16,4,l2,594.1212882250313,243.45484631918157,0.9028979460768987,547,True
fp16,4,huber,616.6021470274709,248.66649020154307,0.8984319788933031,547,True
fp16,4,irls,598.7326838286051,246.2097993376263,0.9022632471782268,547,True
fp16,8,l2,579.2837228780946,241.8705919961298,0.8543977228800713,406,True
fp16,8,huber,627.9176721077752,250.68610536914503,0.8342787917352656,406,True
fp16,8,irls,590.8543635441998,241.90279639440496,0.8534882502359018,406,True
fp32,1,l2,144.7913287225535,17.535196243386288,0.8396913697049819,581,True
fp32,1,huber,114.29097810567096,17.904981113838943,0.809964601643446,581,True
fp32,1,irls,115.98362909569526,17.90415732057067,0.8145921432095207,581,True
fp32,16,l2,197.6458284072776,18.23826569559854,0.9351949856545795,252,True
fp32,16,huber,224.581636441742,18.072230649853083,0.9163205747868228,252,True
fp32,16,irls,200.97978793108985,18.23789727750361,0.9345200163373395,252,True
fp32,4,l2,112.8129832621116,17.911249697011275,0.9116238801500529,472,True
fp32,4,huber,105.1976876583749,18.160403404251866,0.9047159473169973,472,True
fp32,4,irls,111.16977656162092,17.977453584430318,0.9112217205031764,472,True
fp32,8,l2,169.8669221720496,18.315019084685925,0.8869219634224134,358,True
fp32,8,huber,181.8153046825396,18.505061195624762,0.8799437768621907,358,True
fp32,8,irls,137.96316468954643,18.486959349208455,0.8462679792974386,358,True
