config_id,src,dst,size,repetition,duration_ns,duration_us
0,0,1,1,0,9216.0,9.216
0,0,1,1,1,6784.0,6.784
0,0,1,1,2,6432.0,6.432
0,0,1,1,3,6369.0,6.369
0,0,1,1,4,7136.0,7.136
0,0,1,1,5,6239.0,6.239
0,0,1,1,6,6240.0,6.24
0,0,1,1,7,6240.0,6.24
0,0,1,1,8,6272.0,6.272
0,0,1,1,9,6272.0,6.272
0,0,1,1,10,6272.0,6.272
0,0,1,1,11,6304.0,6.304
0,0,1,1,12,6241.0,6.241
0,0,1,1,13,6240.0,6.24
0,0,1,1,14,6272.0,6.272
1,0,1,12,0,6272.0,6.272
1,0,1,12,1,6272.0,6.272
1,0,1,12,2,6241.0,6.241
1,0,1,12,3,6272.0,6.272
1,0,1,12,4,6272.0,6.272
1,0,1,12,5,6143.0,6.143
1,0,1,12,6,6241.0,6.241
1,0,1,12,7,6208.0,6.208
1,0,1,12,8,6175.0,6.175
1,0,1,12,9,6207.0,6.207
1,0,1,12,10,6176.0,6.176
1,0,1,12,11,6176.0,6.176
1,0,1,12,12,6208.0,6.208
1,0,1,12,13,6176.0,6.176
1,0,1,12,14,6335.0,6.335
2,0,1,166,0,6528.0,6.528
2,0,1,166,1,6464.0,6.464
2,0,1,166,2,6273.0,6.273
2,0,1,166,3,6304.0,6.304
2,0,1,166,4,6305.0,6.305
2,0,1,166,5,6655.0,6.655
2,0,1,166,6,6367.0,6.367
2,0,1,166,7,6400.0,6.4
2,0,1,166,8,6399.0,6.399
2,0,1,166,9,6400.0,6.4
2,0,1,166,10,6400.0,6.4
2,0,1,166,11,6400.0,6.4
2,0,1,166,12,6368.0,6.368
2,0,1,166,13,6368.0,6.368
2,0,1,166,14,6368.0,6.368
3,0,1,2154,0,6497.0,6.497
3,0,1,2154,1,6336.0,6.336
3,0,1,2154,2,6400.0,6.4
3,0,1,2154,3,6336.0,6.336
3,0,1,2154,4,6368.0,6.368
3,0,1,2154,5,6367.0,6.367
3,0,1,2154,6,6367.0,6.367
3,0,1,2154,7,6240.0,6.24
3,0,1,2154,8,6272.0,6.272
3,0,1,2154,9,6304.0,6.304
3,0,1,2154,10,6272.0,6.272
3,0,1,2154,11,6304.0,6.304
3,0,1,2154,12,6240.0,6.24
3,0,1,2154,13,6272.0,6.272
3,0,1,2154,14,6305.0,6.305
4,0,1,27825,0,13376.0,13.376
4,0,1,27825,1,11776.0,11.776
4,0,1,27825,2,11200.0,11.2
4,0,1,27825,3,11073.0,11.073
4,0,1,27825,4,10785.0,10.785
4,0,1,27825,5,10816.0,10.816
4,0,1,27825,6,10817.0,10.817
4,0,1,27825,7,10624.0,10.624
4,0,1,27825,8,11040.0,11.04
4,0,1,27825,9,10848.0,10.848
4,0,1,27825,10,10944.0,10.944
4,0,1,27825,11,10944.0,10.944
4,0,1,27825,12,10912.0,10.912
4,0,1,27825,13,10848.0,10.848
4,0,1,27825,14,10943.0,10.943
5,0,1,359381,0,16704.0,16.704
5,0,1,359381,1,13855.0,13.855
5,0,1,359381,2,14143.0,14.143
5,0,1,359381,3,13312.0,13.312
5,0,1,359381,4,13120.0,13.12
5,0,1,359381,5,13248.0,13.248
5,0,1,359381,6,13920.0,13.92
5,0,1,359381,7,13055.0,13.055
5,0,1,359381,8,13952.0,13.952
5,0,1,359381,9,13248.0,13.248
5,0,1,359381,10,13952.0,13.952
5,0,1,359381,11,13088.0,13.088
5,0,1,359381,12,13120.0,13.12
5,0,1,359381,13,13056.0,13.056
5,0,1,359381,14,13023.0,13.023
6,0,1,4641588,0,25663.0,25.663
6,0,1,4641588,1,23521.0,23.521
6,0,1,4641588,2,22528.0,22.528
6,0,1,4641588,3,22368.0,22.368
6,0,1,4641588,4,22781.0,22.781
6,0,1,4641588,5,22496.0,22.496
6,0,1,4641588,6,22752.0,22.752
6,0,1,4641588,7,22560.0,22.56
6,0,1,4641588,8,22752.0,22.752
6,0,1,4641588,9,21952.0,21.952
