config_id,src,dst,size,repetition,duration_ns,duration_us
0,0,1,1024,0,8576.0,8.576
0,0,1,1024,1,7456.0,7.456
0,0,1,1024,2,7008.0,7.008
0,0,1,1024,3,7295.0,7.295
0,0,1,1024,4,6848.0,6.848
1,0,1,119305557,0,25638819.0,25638.819
1,0,1,119305557,1,26007611.0,26007.611
1,0,1,119305557,2,26019274.0,26019.274
1,0,1,119305557,3,25746718.0,25746.718
1,0,1,119305557,4,25897877.0,25897.877
2,0,1,238610090,0,51306193.0,51306.193
2,0,1,238610090,1,51108973.0,51108.973
2,0,1,238610090,2,51702151.0,51702.151
2,0,1,238610090,3,51359263.0,51359.263
2,0,1,238610090,4,51838880.0,51838.88
3,0,1,357914624,0,77110899.0,77110.899
3,0,1,357914624,1,78322333.0,78322.333
3,0,1,357914624,2,77522079.0,77522.079
3,0,1,357914624,3,77801661.0,77801.661
3,0,1,357914624,4,77300415.0,77300.415
4,0,1,477219157,0,102582295.0,102582.295
4,0,1,477219157,1,103289273.0,103289.273
4,0,1,477219157,2,103555598.0,103555.598
4,0,1,477219157,3,102534797.0,102534.797
4,0,1,477219157,4,104122111.0,104122.111
5,0,1,596523690,0,128780556.0,128780.556
5,0,1,596523690,1,128447704.0,128447.704
5,0,1,596523690,2,128778423.0,128778.423
5,0,1,596523690,3,129256740.0,129256.74
5,0,1,596523690,4,129512754.0,129512.754
6,0,1,715828224,0,156511349.0,156511.349
6,0,1,715828224,1,155864610.0,155864.61
6,0,1,715828224,2,155317026.0,155317.026
6,0,1,715828224,3,153796896.0,153796.896
6,0,1,715828224,4,156233803.0,156233.803
7,0,1,835132757,0,179982979.0,179982.979
7,0,1,835132757,1,181931504.0,181931.504
7,0,1,835132757,2,179083441.0,179083.441
7,0,1,835132757,3,183739534.0,183739.534
7,0,1,835132757,4,182391781.0,182391.781
8,0,1,954437290,0,208163389.0,208163.389
8,0,1,954437290,1,205430462.0,205430.462
8,0,1,954437290,2,207538022.0,207538.022
8,0,1,954437290,3,207253825.0,207253.825
8,0,1,954437290,4,205912500.0,205912.5
9,0,1,1073741824,0,231399888.0,231399.888
9,0,1,1073741824,1,231444782.0,231444.782
9,0,1,1073741824,2,231848342.0,231848.342
9,0,1,1073741824,3,232248998.0,232248.998
9,0,1,1073741824,4,232090233.0,232090.233
10,0,2,1024,0,7840.0,7.84
10,0,2,1024,1,6848.0,6.848
10,0,2,1024,2,6496.0,6.496
10,0,2,1024,3,6752.0,6.752
10,0,2,1024,4,6816.0,6.816
11,0,2,119305557,0,24441886.0,24441.886
11,0,2,119305557,1,24252840.0,24252.84
11,0,2,119305557,2,24070054.0,24070.054
11,0,2,119305557,3,24741610.0,24741.61
11,0,2,119305557,4,24497151.0,24497.151
12,0,2,238610090,0,47925227.0,47925.227
12,0,2,238610090,1,48132349.0,48132.349
12,0,2,238610090,2,46843822.0,46843.822
12,0,2,238610090,3,43327227.0,43327.227
12,0,2,238610090,4,44802590.0,44802.59
13,0,2,357914624,0,71742377.0,71742.377
13,0,2,357914624,1,71942915.0,71942.915
13,0,2,357914624,2,72823507.0,72823.507
13,0,2,357914624,3,72304109.0,72304.109
13,0,2,357914624,4,72073790.0,72073.79
14,0,2,477219157,0,95693937.0,95693.937
14,0,2,477219157,1,96311580.0,96311.58
14,0,2,477219157,2,95883017.0,95883.017
14,0,2,477219157,3,96449233.0,96449.233
14,0,2,477219157,4,95400842.0,95400.842
15,0,2,596523690,0,121043221.0,121043.221
15,0,2,596523690,1,120205984.0,120205.984
15,0,2,596523690,2,119920422.0,119920.422
15,0,2,596523690,3,120337652.0,120337.652
15,0,2,596523690,4,120236579.0,120236.579
16,0,2,715828224,0,145796674.0,145796.674
16,0,2,715828224,1,144214307.0,144214.307
16,0,2,715828224,2,144089953.0,144089.953
16,0,2,715828224,3,144890492.0,144890.492
16,0,2,715828224,4,144423338.0,144423.338
17,0,2,835132757,0,168191060.0,168191.06
17,0,2,835132757,1,168211780.0,168211.78
17,0,2,835132757,2,169181869.0,169181.869
17,0,2,835132757,3,166829763.0,166829.763
17,0,2,835132757,4,168470142.0,168470.142
18,0,2,954437290,0,192100621.0,192100.621
18,0,2,954437290,1,192928550.0,192928.55
18,0,2,954437290,2,192033258.0,192033.258
18,0,2,954437290,3,192577702.0,192577.702
18,0,2,954437290,4,192462887.0,192462.887
19,0,2,1073741824,0,216773766.0,216773.766
19,0,2,1073741824,1,216118399.0,216118.399
19,0,2,1073741824,2,214879602.0,214879.602
19,0,2,1073741824,3,216845158.0,216845.158
19,0,2,1073741824,4,216224580.0,216224.58
20,0,3,1024,0,7744.0,7.744
20,0,3,1024,1,7008.0,7.008
20,0,3,1024,2,7104.0,7.104
20,0,3,1024,3,7040.0,7.04
20,0,3,1024,4,6880.0,6.88
21,0,3,119305557,0,24697250.0,24697.25
21,0,3,119305557,1,24144498.0,24144.498
21,0,3,119305557,2,24214052.0,24214.052
21,0,3,119305557,3,24333688.0,24333.688
21,0,3,119305557,4,24378241.0,24378.241
22,0,3,238610090,0,47712025.0,47712.025
22,0,3,238610090,1,48203525.0,48203.525
22,0,3,238610090,2,48478070.0,48478.07
22,0,3,238610090,3,48066103.0,48066.103
22,0,3,238610090,4,48441785.0,48441.785
23,0,3,357914624,0,71903050.0,71903.05
23,0,3,357914624,1,72417710.0,72417.71
23,0,3,357914624,2,72632815.0,72632.815
23,0,3,357914624,3,72349281.0,72349.281
23,0,3,357914624,4,71678047.0,71678.047
24,0,3,477219157,0,96344842.0,96344.842
24,0,3,477219157,1,96095022.0,96095.022
24,0,3,477219157,2,95550032.0,95550.032
24,0,3,477219157,3,96425703.0,96425.703
24,0,3,477219157,4,96276352.0,96276.352
25,0,3,596523690,0,120839877.0,120839.877
25,0,3,596523690,1,120166726.0,120166.726
25,0,3,596523690,2,120166904.0,120166.904
25,0,3,596523690,3,119657428.0,119657.428
25,0,3,596523690,4,120470784.0,120470.784
26,0,3,715828224,0,144609163.0,144609.163
26,0,3,715828224,1,143839564.0,143839.564
26,0,3,715828224,2,145025684.0,145025.684
26,0,3,715828224,3,145061478.0,145061.478
26,0,3,715828224,4,143975792.0,143975.792
27,0,3,835132757,0,167695490.0,167695.49
27,0,3,835132757,1,169951039.0,169951.039
27,0,3,835132757,2,169126361.0,169126.361
27,0,3,835132757,3,168325882.0,168325.882
27,0,3,835132757,4,169649632.0,169649.632
28,0,3,954437290,0,192153691.0,192153.691
28,0,3,954437290,1,193448330.0,193448.33
28,0,3,954437290,2,191495372.0,191495.372
28,0,3,954437290,3,191805252.0,191805.252
28,0,3,954437290,4,191744332.0,191744.332
