config_id,src,dst,size,repetition,gpu_total_duration_us,gpu_timestamp_us,base_time_ns,nccl_kernel_duration_us,nccl_kernel_timestamp_us,cuda_runtime_overhead_us,num_cuda_calls,num_related_events,sender_rank,timestamp_start_ns,timestamp_end_ns,duration_ns,cpu_duration_us,cpu_vs_gpu_total_us,cpu_vs_nccl_kernel_us
0,3,0,2097152,0,113242.57,1824473403491.032,1767189312000000000,1722.548,1824473516191.978,161.059,16,22,0,4673707567798,4673820834815,113267017,113267.017,24.447000000000116,111544.46900000001
1,3,1,536870912,0,28.285,1824473534181.292,1767189312000000000,,,0.0,0,1,0,4673838262518,4673838304690,42172,42.172,13.886999999999997,
2,3,0,1073741824,0,692.906,1824473536399.001,1767189312000000000,1133715.093,1824473536756.791,52.409,12,17,0,4673840482589,4673841188811,706222,706.222,13.316000000000031,-1133008.871
3,0,3,2,0,23170.116,1824474674304.357,1767189312000000000,8.575,1824474697080.175,105.827,12,17,0,4674978375969,4675001572035,23196066,23196.066,25.94999999999709,23187.490999999998
4,3,1,1024,0,27.484,1824474699523.08,1767189312000000000,,,0.0,0,1,0,4675003604925,4675003645423,40498,40.498,13.013999999999996,
5,3,1,1,0,27.603,1824474700704.105,1767189312000000000,,,0.0,0,1,0,4675004787174,4675004826540,39366,39.366,11.762999999999998,
6,0,1,131072,0,138211.669,1824474701829.781,1767189312000000000,40.096,1824474839752.281,118.448,16,22,0,4675005913265,4675144139322,138226057,138226.057,14.388000000006286,138185.961
7,1,3,256,0,27.213,1824474843175.761,1767189312000000000,,,0.0,0,1,0,4675147259047,4675147297732,38685,38.685,11.472000000000001,
8,1,0,64,0,25491.592,1824474845888.859,1767189312000000000,34.912,1824474871101.077,57.199999999999996,12,17,0,4675149970595,4675175477647,25507052,25507.052,15.459999999999127,25472.14
9,2,1,4096,0,44.316,1824474873244.15,1767189312000000000,,,0.0,0,1,0,4675177327684,4675177384504,56820,56.82,12.503999999999998,
10,3,0,32,0,1402.515,1824474874783.463,1767189312000000000,9.024,1824474875906.019,639.623,12,17,0,4675178867183,4675180282822,1415639,1415.639,13.123999999999796,1406.615
11,0,1,16,0,878.364,1824474880509.029,1767189312000000000,7.328,1824474881150.982,331.97999999999996,12,17,0,4675184591610,4675185483069,891459,891.459,13.094999999999914,884.131
12,3,0,1048576,0,811.615,1824474885509.61,1767189312000000000,114.463,1824474886083.646,299.247,12,17,0,4675189593004,4675190417113,824109,824.109,12.494000000000028,709.6460000000001
13,1,3,536870912,0,26.982,1824474891383.567,1767189312000000000,,,0.0,0,1,0,4675195465817,4675195505564,39747,39.747,12.765,
14,3,2,262144,0,27.543,1824474893033.095,1767189312000000000,,,0.0,0,1,0,4675197116219,4675197155575,39356,39.356,11.813000000000002,
15,3,2,65536,0,26.06,1824474894733.607,1767189312000000000,,,0.0,0,1,0,4675198815887,4675198854431,38544,38.544,12.483999999999998,
16,3,1,524288,0,24.808,1824474896182.775,1767189312000000000,,,0.0,0,1,0,4675200265843,4675200302243,36400,36.4,11.591999999999999,
17,1,0,16,0,1166.92,1824474897351.218,1767189312000000000,332170.44,1824474898250.076,508.339,12,17,0,4675201435367,4675202614471,1179104,1179.104,12.183999999999969,-330991.336
18,3,1,256,0,218.421,1824475233651.555,1767189312000000000,,,0.0,0,1,0,4675537724827,4675537966273,241446,241.446,23.025000000000006,
19,0,1,256,0,1727.301,1824475235309.899,1767189312000000000,7.713,1824475236714.265,832.014,12,17,0,4675539393715,4675541134011,1740296,1740.296,12.995000000000118,1732.583
0,3,0,2097152,0,164.066,1824473410655.935,1767189312000000000,,,0.0,0,1,1,4673707567798,4673820834815,113267017,113267.017,113102.951,
