src,dst,latency_us,bandwidth_gbps,slope,intercept,r_squared,p_value
0,1,7.438904e+02,1.895074e+04,5.276840e-08,7.438904e+02,1.076622e-02,7.059451e-09
0,2,7.499608e+02,2.088567e+04,4.787973e-08,7.499608e+02,1.745584e-02,1.531440e-13
0,3,7.522294e+02,3.775342e+04,2.648766e-08,7.522294e+02,3.350971e-03,1.264455e-03
1,0,7.523143e+02,-4.631157e+04,-2.159288e-08,7.523143e+02,3.471169e-03,1.033162e-03
1,2,3.664714e+01,5.751302e+04,1.738737e-08,3.664714e+01,8.907349e-02,8.313117e-65
1,3,3.792578e+01,-5.202942e+05,-1.921990e-09,3.792578e+01,1.167193e-03,5.717504e-02
2,0,7.459735e+02,3.133446e+04,3.191375e-08,7.459735e+02,5.097396e-03,6.949843e-05
2,1,3.773713e+01,1.234693e+06,8.099182e-10,3.773713e+01,1.898088e-04,4.431980e-01
2,3,3.959408e+01,-1.649244e+05,-6.063385e-09,3.959408e+01,6.297357e-03,9.709486e-06
3,0,7.366809e+02,-8.698065e+04,-1.149681e-08,7.366809e+02,1.064398e-03,6.937844e-02
3,1,3.943740e+01,-1.711624e+05,-5.842404e-09,3.943740e+01,7.171601e-03,2.339271e-06
3,2,3.949175e+01,5.156361e+05,1.939352e-09,3.949175e+01,8.447464e-04,1.056770e-01
