config_id,src,dst,size,duration_ms,bandwidth_gbps,elapsed_s,src_temp,dst_temp,src_power,dst_power,src_clock_graphics,dst_clock_graphics
0,0,3,960716368,203.21103599999998,4.727678116851882,0.018938092041015625,32.0,34.0,33.92,68.34,570.0,795.0
1,0,3,678152731,137.130685,4.945302584902861,9.90611574609375,40.0,40.0,70.32,69.65,840.0,795.0
3,0,3,452101821,92.35629899999999,4.8951920539821545,25.325532581054688,46.0,46.0,91.13,69.84,675.0,765.0
11,0,1,56512728,12.540111000000001,4.506557238608175,115.8442245,53.0,52.0,43.35,41.99,1590.0,1590.0
13,0,1,791178186,173.18313,4.568448358682511,120.74167139208984,53.0,52.0,43.35,42.76,1590.0,1590.0
17,0,1,847690913,184.91805,4.584143695004355,151.36736,54.0,53.0,43.44,42.18,1590.0,1590.0
25,0,3,113025456,23.350461,4.84039505686847,265.62963871118166,55.0,56.0,43.64,45.62,1590.0,1590.0
27,0,2,1,0.007585,0.00013183915622940013,277.8180186062012,55.0,56.0,43.71,44.75,1590.0,1590.0
39,0,1,226050911,49.234158,4.591343087455664,468.3229296931152,55.0,54.0,43.25,44.1,1590.0,1590.0
40,0,2,847690913,176.914636,4.791525066360252,470.9684054291992,56.0,57.0,45.07,43.51,1590.0,1590.0
46,0,2,734665458,152.836865,4.806860295125787,525.1704831340332,55.0,57.0,43.35,43.42,1590.0,1590.0
48,0,2,904203641,187.41108799999998,4.824707281993902,534.8243280061035,55.0,57.0,42.96,43.49,1590.0,1590.0
52,0,1,904203641,200.429627,4.511327265005587,572.1587175251465,55.0,55.0,43.25,42.76,1590.0,1590.0
58,0,2,960716368,199.335823,4.819587134621558,630.3984807011718,55.0,57.0,43.25,44.85,1590.0,1590.0
61,0,2,452101821,94.118205,4.803553372060166,676.7011605332032,55.0,58.0,43.25,44.94,1590.0,1590.0
66,0,2,56512728,12.113819,4.6651454838478275,721.0794305151367,55.0,57.0,43.25,45.04,1590.0,1590.0
70,0,3,1073741824,217.76272899999998,4.930787876009765,795.4164296550293,55.0,58.0,43.25,44.58,1590.0,1590.0
73,0,3,565127276,115.036665,4.912583966164179,823.0274835500488,55.0,58.0,45.46,43.51,1590.0,1590.0
84,0,3,791178186,159.936419,4.946829439766311,961.3628624172363,56.0,58.0,43.35,45.91,1590.0,1590.0
85,0,2,565127276,117.650903,4.803424891689951,969.512567795166,56.0,58.0,43.35,45.14,1590.0,1590.0
88,0,3,395589093,80.149546,4.9356373522065855,1017.8564736960449,56.0,58.0,44.03,44.49,1590.0,1590.0
90,0,2,1073741824,223.809485,4.797570683834065,1032.2192930690917,56.0,58.0,43.35,45.04,1590.0,1590.0
92,0,1,113025456,24.772647,4.562510255767178,1058.4216999301757,56.0,55.0,42.96,41.79,1590.0,1590.0
93,0,3,508614548,102.767668,4.949168915655457,1059.8207284370117,56.0,58.0,45.36,44.49,1590.0,1590.0
99,0,1,339076366,75.230542,4.507163672966758,1144.0959615690917,55.0,54.0,43.25,40.46,1590.0,1590.0
107,0,2,395589093,82.91652400000001,4.7709319435532525,1260.5442659501953,55.0,56.0,43.74,43.42,1590.0,1590.0
109,0,3,1,0.007649,0.00013073604392731077,1295.8207289401855,55.0,57.0,43.15,45.91,1590.0,1590.0
110,0,2,508614548,105.76616899999999,4.808858567998241,1295.9927460561523,55.0,56.0,43.15,43.13,1590.0,1590.0
111,0,1,395589093,87.736167,4.508848591482233,1301.460686564209,55.0,54.0,43.15,42.47,1590.0,1590.0
113,0,1,960716368,212.266624,4.525988824319361,1329.7772422580567,55.0,54.0,43.15,42.47,1590.0,1590.0
114,0,2,226050911,47.078807,4.801542889563875,1340.5376576640624,55.0,56.0,42.47,43.29,1590.0,1590.0
115,0,1,621640003,138.05646,4.502795472229261,1343.066118109131,55.0,54.0,43.15,42.47,1590.0,1590.0
117,0,3,734665458,148.878244,4.93467304732584,1369.7962247561036,55.0,58.0,45.36,45.33,1590.0,1590.0
118,0,2,791178186,164.02617,4.8234875325077695,1377.403421472168,55.0,56.0,45.26,43.22,1590.0,1590.0
120,0,3,56512728,11.548647,4.893450115844739,1410.4259149020995,55.0,57.0,45.46,45.91,1590.0,1590.0
121,0,1,678152731,150.364073,4.510071571418527,1411.1585636711425,55.0,54.0,45.46,41.79,1590.0,1590.0
122,0,3,621640003,125.287753,4.961698075948413,1418.785792316162,55.0,57.0,43.15,44.26,1590.0,1590.0
133,0,3,226050911,45.844899,4.930775635474734,1562.4891144450683,55.0,57.0,43.06,45.62,1590.0,1590.0
141,0,2,678152731,141.554666,4.790747985658063,1613.2028296940919,55.0,56.0,43.93,44.75,1590.0,1590.0
144,0,2,1017229096,212.169786,4.794410717838967,1651.6009531540528,55.0,56.0,44.97,43.22,1590.0,1590.0
150,0,1,508614548,112.033825,4.539830252158221,1722.0275165100097,55.0,54.0,44.68,41.89,1590.0,1590.0
154,0,3,1017229096,206.340369,4.929859827865288,1764.3345092460938,55.0,56.0,45.07,44.0,1590.0,1590.0
167,0,3,339076366,68.919367,4.919899598033163,2199.5027630151367,55.0,57.0,45.26,44.49,1590.0,1590.0
